name,term,freq,prediction_length,domain,trend,seasonal_strength,entropy,hurst,stability,lumpiness,pred_crps
cif_2016_6,short,M,12,Econ/Fin,0.71290016,0.5665225,0.5251642,0.9079405,0.44009712,0.305393,0.13898171
cif_2016_6,medium,M,120,Econ/Fin,0.7140104,0.6216385,0.4151099,0.93354195,0.42546162,0.305393,0.11809376
cif_2016_6,long,M,180,Econ/Fin,0.7140104,0.6216385,0.4151099,0.93354195,0.42546162,0.305393,0.11809376
era5_1996,short,H,48,Climate,0.6770571,0.64366764,0.39426395,0.65876096,0.38186103,0.30808526,0.2161334
era5_1996,medium,H,480,Climate,0.6770571,0.6763625,0.43251953,0.65876096,0.38186103,0.30808526,0.2303591
era5_1996,long,H,720,Climate,0.6770571,0.6763625,0.43251953,0.65876096,0.38186103,0.30808526,0.2303591
bdg-2_panther,short,H,48,Energy,0.7828788,0.64366764,0.42148492,0.8775636,0.56124514,0.8611128,0.112148166
bdg-2_panther,medium,H,480,Energy,0.7873413,0.6763625,0.38473052,0.856679,0.56124514,0.50420505,0.112148166
bdg-2_panther,long,H,720,Energy,0.7873413,0.6763625,0.38473052,0.8640375,0.56124514,0.42473942,0.112148166
cmip6_1985,short,6H,48,Climate,0.7719097,0.5692952,0.39426395,0.9422791,0.38186103,0.30808526,0.112148166
cmip6_1985,medium,6H,480,Climate,0.7719097,0.6019901,0.43251953,0.9422791,0.38186103,0.30808526,0.112148166
cmip6_1985,long,6H,720,Climate,0.7719097,0.6019901,0.43251953,0.9422791,0.38186103,0.30808526,0.112148166
monash_m3_yearly,short,A,6,Econ/Fin,0.842541,0.23947196,0.5333081,0.88995534,0.644888,0.6063648,0.1335627
monash_m3_yearly,medium,A,60,Econ/Fin,0.8383012,0.18288171,0.39978474,0.8690708,0.644888,0.51744455,0.11267476
monash_m3_yearly,long,A,90,Econ/Fin,0.8383012,0.18288171,0.39978474,0.8690708,0.644888,0.51744455,0.11267476
bitcoin_with_missing,short,D,30,Econ/Fin,0.8183025,0.5889436,0.43035045,0.93354195,0.55723923,0.305393,0.112148166
bitcoin_with_missing,medium,D,300,Econ/Fin,0.8183025,0.6216385,0.39359605,0.93354195,0.55723923,0.305393,0.112148166
bitcoin_with_missing,long,D,450,Econ/Fin,0.8183025,0.6216385,0.39359605,0.93354195,0.55723923,0.305393,0.112148166
era5_1998,short,H,48,Climate,0.6770571,0.64366764,0.39426395,0.65876096,0.38186103,0.30808526,0.2161334
